Red: Red de Vigilancia y Control de la Contaminación Atmosférica
Estación: 03014009-Alacant - Rabassa
	
FECHA	SO2	CO	NO	NO2	PM10	NOx	O3	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	PM2.5	PM1
	µg/m³	mg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³	m/s	grados	°C	% H.R.	mb	W/m²	l/m²	µg/m³	µg/m³
28/07/2019	6	0,1	1	3	18	5	66	2,3	130	26,7	65	997	307	0	5	4
29/07/2019	5	0,1	2	8	16	12	57	1,9	211	25,5	71	998	327	0	7	5
30/07/2019	4	0,1	2	7	18	11	59	1,7	77	25,6	79	1000	225	0	10	7
31/07/2019	4	0,1	2	6	24	8	70	3,4	56	25,9	69	1002	196	0	7	5
01/08/2019	4	0,1	2	9	29	12	71	1,7	206	25,9	69	1000	236	0	8	5
02/08/2019	4	0,1	2	8	18	11	78	1,6	122	26,3	78	1001	294	0	8	6
03/08/2019	3	0,1	1	6	15	8	80	1,3	81	26,3	74	1002	306	0	7	5
04/08/2019	3	0,1	1	5	25	7	70	1,4	150	26,5	73	1001	301	0	9	6
05/08/2019	4	0,2	2	7	27	10	60	1,2	125	26,8	82	1001	265	0	14	9
06/08/2019	4	0,1	2	9	29	13	67	1,2	184	27,4	81	999	303	0	16	13
07/08/2019	5	0,1	3	19	50	23	72	1,4	11	29,1	61	998	257	0	14	10
08/08/2019	4	0,2	2	13	29	16	66	1,5	140	28,1	64	1000	295	0	10	8
09/08/2019	4	0,2	4	24	55	30	63	1,6	140	29,8	50	1000	317	0	8	4
10/08/2019	5	0,1	2	13	40	17	60	1,3	92	29,3	63	1002	293	0	9	6
11/08/2019	5	0,2	1	5	21	7	56	1,4	164	27,6	83	1001	237	0,4	14	11
12/08/2019	5	0,2	2	6	24	9	65	2,7	87	28	67	1001	269	0	9	6
13/08/2019	5	0,1	1	2	24	4	78	2,6	75	26,3	65	1005	256	0	6	4
14/08/2019	3	0,1	2	5	18	8	62	2	211	25,4	75	1006	300	0	6	4
15/08/2019	4	0,1	2	8	15	10	60	1,4	129	26,2	71	1005	299	0	7	5
16/08/2019	4	0,1	2	10	15	13	54	1,5	72	25,8	68	1005	301	0	6	4
17/08/2019	4	0,1	2	9	14	12	49	1,5	167	26,4	68	1002	298	0	6	4
18/08/2019	4	0,1	2	8	15	11	52	1,3	108	26,8	72	1000	297	0	8	6
19/08/2019	3	0,1	2	7	22	10	63	1,9	88	26,6	76	1001	249	0	11	8
20/08/2019	4	0,2	2	6	19	8	67	2,1	55	27,1	76	1003	224	0	10	8
21/08/2019	4	0,1	2	5	12	8	72	2,8	62		100	1006	271	3,9	5	3
22/08/2019	5	0,1	3	11	11	15	62	1,7	54		91	1007	299	1,6	5	4
23/08/2019	5	0,1	2	11	12	14	68	1,7	20		83	1007	248	0,4	6	4
24/08/2019	4	0,1	2	7	13	10	62	1,7	45		80	1006	288	0	8	7
25/08/2019	4	0,1	2	5	13	8	66	1,8	58		81	1005	265	0	10	10
26/08/2019	4	0,1	2	5	17	8	74	2,8	58		82	1003	197	1	12	11
27/08/2019	5	0,1	3	12	14	16	52	1,7	317		93	1002	142	14,1	10	8
28/08/2019	4	0,1	3	10	15	14	63	1,3	44		98	1004	280	0	10	9
29/08/2019	4	0,1	3	11	17	16	59	1,1	43		81	1007	244	0	11	10
30/08/2019	3	0,1	3	13	16	17	55	1,4	254	24,3	69	1007	247	0	9	8
31/08/2019	5	0,1	2	10	15	13	57	1,6	255	24,6	70	1003	273	0	10	9
01/09/2019	5	0,1	2	8	16	10	62	1,5	154	25,1	74	1002	258	0	11	9
02/09/2019	5	0,1	2	9	12	11	71	1,2	68	24,4	80	1005	146	0,2	8	7
03/09/2019	4	0,1	2	6	10	9	61	1,5	90	24,2	79	1008	262	0	5	4
04/09/2019	3	0,1	2	7	10	11	56	1,5	229	24,3	78	1006	247	0	5	3
05/09/2019	4	0,1	3	8	12	12	61	1,6	53	23,7	79	1005	207	0	5	3
06/09/2019	5	0,1	2	6	13	8	66	1,8	69	23,5	75	1006	239	0	5	3
07/09/2019	4	0,1	2	3	9	6	70	1,5	67	22,2	81	1006	166	31,9	4	3
08/09/2019	5	0,1	2	5	8	8	61	1,5	46	22	75	1005	212	0	3	2
09/09/2019	4	0,1	3	9	15	13	53	2,1	252	22,5	77	1003	229	0	6	4
10/09/2019	4	0,1	3	8	19	13	52	3	329	21,9	54	998	207	0,9	4	3
11/09/2019	5	0,1	2	4	3	6	70	3,8	17	18,5	66	1004	168	8,6	1	1
12/09/2019	4	0,1	2	6	5	9	79	3,6	19	19,1	93	1009	11	50,3	4	3
13/09/2019	4	0,1	2	5	10	7	79	3,8	49	22	79	1009	104	1,3	6	4
14/09/2019	3	0,1	2	4	13	7	76	2,2	22	22,8	76	1008	88	9	6	4
15/09/2019	4	0,1	2	5	27	7	62	1,9	47	24,1	79	1005	212	0	13	9
16/09/2019	5	0,1	4	10	31	15	48	1,3	239	23,1	85	1005	236	0	16	11
17/09/2019	3	0,1	5	13	31	20	42	1,2	335	22,6	90	1004	160	0	18	15
18/09/2019	3	0,1	4	12	26	18	60	1	30	22,9	84	1002	238	0	17	14
19/09/2019	5	0,1	3	8	20	12	71	1,3	72	22,3	82	1004	228	0	12	10
20/09/2019	5	0,1	2	7	24	11	56	2,3	54	22,8	85	1003	184	0	13	11
21/09/2019	4	0,1	2	7	21	9	51	1,8	258	23,9	82	1000	203	0	13	10
22/09/2019	5	0,1	2	10	21	14	47	1,2	177	24,1	82	1001	213	0	13	11
23/09/2019		0,1	2	7	9	9	64	1,9	29	23,4	63	1006	210	0	3	2
24/09/2019			3	15	16	19	54	2,7	283	23,7	67	1004	231	0	5	3
25/09/2019			3	11	17	16	55	2,3	336	25,2	62	1003	228	0	4	2
26/09/2019			3	11	10	16	53	1,4	27	22,2	83	1006	210	0	5	4
27/09/2019			4	13	14	18	50	1,6	253	22	84	1006	219	0	7	5
28/09/2019			2	10	18	13	66	1,1	60	22,3	87	1007	173	0	12	11
29/09/2019			2	7	14	9	59	1,9	261	22,3	84	1005	216	0	10	9
30/09/2019			7	16	26	27	54	1,4	26	22	84	1004	211	0	15	13
01/10/2019			4	18	33	24	58	1,7	327	23,6	74	999	200	0	17	15
02/10/2019			2	13	27	16	59	2,6	305	23,9	52	1002	203	0	4	2
03/10/2019			3	14	21	19	55	1,9	339	20,7	67	1004	204	0	4	3
04/10/2019			3	20	17	24	61	1,6	13	20,7	70	1004	219	0	5	3
05/10/2019			2	13	16	15	71	1,6	28	21,2	77	1003	199	0	6	5
06/10/2019			2	9	14	11	69	1,3	360	21,1	86	1005	192	0	9	8
07/10/2019	4	0,2	3	14	21	18	58	1,7	46	21,5	79	1004	168	0	10	8
08/10/2019	5	0,1	3	12	13	16	48	2	285	20,6	81	1007	148	0	6	5
09/10/2019	5	0,1	2	6	9	8	61	1,6	15	20,9	80	1005	192	0	4	3
10/10/2019	5	0,1	3	7	9	11	71	1,7	68	22,3	78	1008	178	0	3	2
11/10/2019	4	0,1	3	9	8	14	52	1,8	45	21,4	82	1008	184	0	3	2
12/10/2019	4	0,2	2	6	12	9	61	2,3	38	21,5	83	1005	141	0	6	5
